,TS,VGGNet,ResNet,DenseNet
0,500,0.4937+-0.0642,0.3794+-0.0804,0.3868+-0.0494
1,5000,0.6954+-0.042,0.6538+-0.0304,0.6707+-0.0442
2,50000,0.8397+-0.0213,0.8184+-0.0192,0.8252+-0.0129
3,162946,0.8679+-0.0126,0.8678+-0.0174,0.8775+-0.0182
