,MFE+FNN,CNN,MultiNN,Stacking-DT,Stacking-FNN,Stacking-MLR
0,0.7917+-0.0317,0.6926+-0.0504,0.7199+-0.0883,0.7817+-0.0248,0.7805+-0.0294,0.7943+-0.0322
1,0.1421+-0.1721,0.096+-0.1579,0.1041+-0.1457,0.0779+-0.1365,0.1111+-0.1898,0.1427+-0.1886
2,0.5318+-0.0737,0.2886+-0.1034,0.4454+-0.1214,0.5088+-0.0641,0.5374+-0.0457,0.5606+-0.0588
3,0.8839+-0.0172,0.924+-0.0189,0.8955+-0.0247,0.9261+-0.0222,0.928+-0.013,0.9308+-0.0229
4,0.4223+-0.07,0.2065+-0.1172,0.3608+-0.1314,0.3401+-0.0668,0.396+-0.0914,0.408+-0.0842
5,0.3958+-0.2245,0.4818+-0.1944,0.5002+-0.2234,0.3235+-0.1062,0.2415+-0.2944,0.5678+-0.1731
6,0.0889+-0.0754,0.0781+-0.0691,0.0331+-0.0437,0.1024+-0.0624,0.0148+-0.0358,0.0999+-0.0691
7,0.2491+-0.3052,0.1908+-0.265,0.2831+-0.3189,0.1457+-0.2539,0.1022+-0.2418,0.257+-0.299
8,0.9811+-0.0022,0.9737+-0.0051,0.9746+-0.0046,0.9791+-0.0029,0.9813+-0.0016,0.982+-0.0016
