,MFE+FNN,CNN,MultiNN,Stacking-DT,Stacking-FNN,Stacking-MLR
0,0.9296+-0.0111,0.9249+-0.0134,0.9218+-0.0101,0.9225+-0.0144,0.9406+-0.0096,0.9382+-0.0105
1,0.8325+-0.0323,0.7603+-0.1336,0.7841+-0.0642,0.8293+-0.0457,0.874+-0.0153,0.8568+-0.0349
2,0.7818+-0.0132,0.7889+-0.0207,0.7659+-0.0176,0.7852+-0.0242,0.8277+-0.0132,0.8256+-0.0166
3,0.9596+-0.0039,0.9724+-0.0081,0.9589+-0.006,0.9751+-0.0044,0.9784+-0.0043,0.9775+-0.0046
4,0.7184+-0.0185,0.7297+-0.0354,0.7088+-0.03,0.7241+-0.0211,0.7769+-0.0197,0.7715+-0.0173
5,0.8467+-0.0257,0.8534+-0.0363,0.8412+-0.0419,0.8231+-0.0369,0.8669+-0.031,0.868+-0.0263
6,0.5742+-0.0694,0.725+-0.0377,0.5918+-0.0591,0.7029+-0.0428,0.7611+-0.0332,0.7477+-0.0363
7,0.8474+-0.0779,0.8131+-0.0829,0.8194+-0.0812,0.8225+-0.0773,0.8544+-0.062,0.8413+-0.0768
8,0.9891+-0.0005,0.9897+-0.0009,0.9888+-0.0006,0.9893+-0.0011,0.9915+-0.0006,0.991+-0.0006
