,TS,LR,SVM,RF,GBM,FNN
0,500,0.9401+-0.0033,0.9244+-0.0033,0.9377+-0.0036,0.9286+-0.0033,0.9415+-0.0044
1,5000,0.9581+-0.0013,0.9494+-0.0022,0.9555+-0.0021,0.9514+-0.0019,0.96+-0.0011
2,50000,0.9657+-0.0017,0.9662+-0.0013,0.966+-0.0018,0.965+-0.0011,0.9712+-0.001
3,162946,0.967+-0.0014,0.9718+-0.001,0.9703+-0.0014,0.9683+-0.0013,0.9741+-0.001
